GEO_ID,NAME,B19058_001E,B19058_002E
45001,"Abbeville County, South Carolina",9597,1563
45003,"Aiken County, South Carolina",68266,8946
45005,"Allendale County, South Carolina",3426,1016
45007,"Anderson County, South Carolina",78636,9460
45009,"Bamberg County, South Carolina",5070,1134
45011,"Barnwell County, South Carolina",8670,1911
45013,"Beaufort County, South Carolina",74231,4136
45015,"Berkeley County, South Carolina",79597,7240
45017,"Calhoun County, South Carolina",6221,1091
45019,"Charleston County, South Carolina",163411,11986
45021,"Cherokee County, South Carolina",20779,3469
45023,"Chester County, South Carolina",12861,2037
45025,"Chesterfield County, South Carolina",18213,3066
45027,"Clarendon County, South Carolina",12775,2937
45029,"Colleton County, South Carolina",15281,2878
45031,"Darlington County, South Carolina",26117,5311
45033,"Dillon County, South Carolina",11147,2454
45035,"Dorchester County, South Carolina",56939,5813
45037,"Edgefield County, South Carolina",9171,1444
45039,"Fairfield County, South Carolina",9315,1334
45041,"Florence County, South Carolina",52880,8693
45043,"Georgetown County, South Carolina",25758,3654
45045,"Greenville County, South Carolina",198015,17208
45047,"Greenwood County, South Carolina",27977,4616
45049,"Hampton County, South Carolina",6893,1319
45051,"Horry County, South Carolina",136219,13583
45053,"Jasper County, South Carolina",10724,1646
45055,"Kershaw County, South Carolina",25293,2887
45057,"Lancaster County, South Carolina",35228,3681
45059,"Laurens County, South Carolina",25555,3747
45061,"Lee County, South Carolina",6455,1734
45063,"Lexington County, South Carolina",115220,12654
45065,"McCormick County, South Carolina",3984,564
45067,"Marion County, South Carolina",11282,2887
45069,"Marlboro County, South Carolina",9384,2078
45071,"Newberry County, South Carolina",14976,1960
45073,"Oconee County, South Carolina",32440,4154
45075,"Orangeburg County, South Carolina",33629,7002
45077,"Pickens County, South Carolina",48522,4275
45079,"Richland County, South Carolina",155478,18627
45081,"Saluda County, South Carolina",7360,1045
45083,"Spartanburg County, South Carolina",118788,12367
45085,"Sumter County, South Carolina",41704,6987
45087,"Union County, South Carolina",11707,1568
45089,"Williamsburg County, South Carolina",12705,3447
45091,"York County, South Carolina",103582,8426